"","PlantID","PlantName","State","Year","Month","GenerationMWh"
"184",437,"Edward C Hyatt","CA","2016","April",40962
"185",437,"Edward C Hyatt","CA","2016","May",193164
"186",437,"Edward C Hyatt","CA","2016","June",253010
"187",437,"Edward C Hyatt","CA","2016","July",414761
"188",437,"Edward C Hyatt","CA","2016","August",310142
"189",437,"Edward C Hyatt","CA","2016","September",156412
"190",437,"Edward C Hyatt","CA","2016","October",108903
"191",437,"Edward C Hyatt","CA","2016","November",105563
"192",437,"Edward C Hyatt","CA","2016","December",74529
"193",437,"Edward C Hyatt","CA","2017","January",296666
"194",437,"Edward C Hyatt","CA","2017","February",67433
"195",437,"Edward C Hyatt","CA","2017","March",268496
"196",437,"Edward C Hyatt","CA","2017","April",223121
"197",437,"Edward C Hyatt","CA","2017","May",330203
"198",437,"Edward C Hyatt","CA","2017","June",254926
"199",437,"Edward C Hyatt","CA","2017","July",221161
"200",437,"Edward C Hyatt","CA","2017","August",289574
"201",437,"Edward C Hyatt","CA","2017","September",224013
"202",437,"Edward C Hyatt","CA","2017","October",58421
"203",437,"Edward C Hyatt","CA","2017","November",59337
"204",437,"Edward C Hyatt","CA","2017","December",82136
"205",437,"Edward C Hyatt","CA","2018","January",57751
"206",437,"Edward C Hyatt","CA","2018","February",43408
"207",437,"Edward C Hyatt","CA","2018","March",38098
"208",437,"Edward C Hyatt","CA","2018","April",164264
"209",437,"Edward C Hyatt","CA","2018","May",121167
"210",437,"Edward C Hyatt","CA","2018","June",144295
"211",437,"Edward C Hyatt","CA","2018","July",216298
"212",437,"Edward C Hyatt","CA","2018","August",235034
"213",437,"Edward C Hyatt","CA","2018","September",166338
"214",437,"Edward C Hyatt","CA","2018","October",41844
"215",437,"Edward C Hyatt","CA","2018","November",27983
"216",437,"Edward C Hyatt","CA","2018","December",34907
"217",437,"Edward C Hyatt","CA","2019","January",34136
"218",437,"Edward C Hyatt","CA","2019","February",25206
"219",437,"Edward C Hyatt","CA","2019","March",256869
"220",437,"Edward C Hyatt","CA","2019","April",352267
"221",437,"Edward C Hyatt","CA","2019","May",375208
"222",437,"Edward C Hyatt","CA","2019","June",264583
"223",437,"Edward C Hyatt","CA","2019","July",326595
"224",437,"Edward C Hyatt","CA","2019","August",355849
"225",437,"Edward C Hyatt","CA","2019","September",292390
"226",437,"Edward C Hyatt","CA","2019","October",159450
"227",437,"Edward C Hyatt","CA","2019","November",124093
"228",437,"Edward C Hyatt","CA","2019","December",96197
"229",437,"Edward C Hyatt","CA","2020","January",74756
"230",437,"Edward C Hyatt","CA","2020","February",51100
"231",437,"Edward C Hyatt","CA","2020","March",52282
"232",437,"Edward C Hyatt","CA","2020","April",58407
"233",437,"Edward C Hyatt","CA","2020","May",149630
"234",437,"Edward C Hyatt","CA","2020","June",187100
"235",437,"Edward C Hyatt","CA","2020","July",199059
"236",437,"Edward C Hyatt","CA","2020","August",131931
"237",437,"Edward C Hyatt","CA","2020","September",80502
"238",437,"Edward C Hyatt","CA","2020","October",89761
"239",437,"Edward C Hyatt","CA","2020","November",56139
"240",437,"Edward C Hyatt","CA","2020","December",43469
"241",437,"Edward C Hyatt","CA","2021","January",38932
"242",437,"Edward C Hyatt","CA","2021","February",24068
"243",437,"Edward C Hyatt","CA","2021","March",27894
"244",437,"Edward C Hyatt","CA","2021","April",46383
"245",437,"Edward C Hyatt","CA","2021","May",107293
"246",437,"Edward C Hyatt","CA","2021","June",11664
"247",437,"Edward C Hyatt","CA","2021","July",74695
"248",437,"Edward C Hyatt","CA","2021","August",-37522
"249",437,"Edward C Hyatt","CA","2021","September",-968
"250",437,"Edward C Hyatt","CA","2021","October",-1092
"251",437,"Edward C Hyatt","CA","2021","November",-1368
"252",437,"Edward C Hyatt","CA","2021","December",-1255
"253",437,"Edward C Hyatt","CA","2022","January",19479
"254",437,"Edward C Hyatt","CA","2022","February",99342
"255",437,"Edward C Hyatt","CA","2022","March",103221
"256",437,"Edward C Hyatt","CA","2022","April",51754
"257",437,"Edward C Hyatt","CA","2022","May",112000
"258",437,"Edward C Hyatt","CA","2022","June",157578
"259",437,"Edward C Hyatt","CA","2022","July",150696
"260",437,"Edward C Hyatt","CA","2022","August",117980
"261",437,"Edward C Hyatt","CA","2022","September",44989
"262",437,"Edward C Hyatt","CA","2022","October",21067
"263",437,"Edward C Hyatt","CA","2022","November",37426
"264",437,"Edward C Hyatt","CA","2022","December",13718
"265",437,"Edward C Hyatt","CA","2023","January",12690
"266",437,"Edward C Hyatt","CA","2023","February",20663
"267",437,"Edward C Hyatt","CA","2023","March",84677
"268",437,"Edward C Hyatt","CA","2023","April",119522
"269",437,"Edward C Hyatt","CA","2023","May",145638
"270",437,"Edward C Hyatt","CA","2023","June",151497
"271",437,"Edward C Hyatt","CA","2023","July",136712
"272",437,"Edward C Hyatt","CA","2023","August",178030
"273",437,"Edward C Hyatt","CA","2023","September",255211
"274",437,"Edward C Hyatt","CA","2023","October",137838
"275",437,"Edward C Hyatt","CA","2023","November",114359
"276",437,"Edward C Hyatt","CA","2023","December",97265
"277",437,"Edward C Hyatt","CA","2024","January",76835
"278",437,"Edward C Hyatt","CA","2024","February",169911
"279",437,"Edward C Hyatt","CA","2024","March",221374
"280",437,"Edward C Hyatt","CA","2024","April",139428
"281",437,"Edward C Hyatt","CA","2024","May",203635
"282",437,"Edward C Hyatt","CA","2024","June",224116
"283",437,"Edward C Hyatt","CA","2024","July",377726
"284",437,"Edward C Hyatt","CA","2024","August",340541
"285",437,"Edward C Hyatt","CA","2024","September",297275
"286",437,"Edward C Hyatt","CA","2024","October",130231
"287",437,"Edward C Hyatt","CA","2024","November",102000
"288",437,"Edward C Hyatt","CA","2024","December",69170
"289",437,"Edward C Hyatt","CA","2025","January",75283
"290",437,"Edward C Hyatt","CA","2025","February",226183
"291",437,"Edward C Hyatt","CA","2025","March",131639
"292",437,"Edward C Hyatt","CA","2025","April",71726
"293",437,"Edward C Hyatt","CA","2025","May",0
"294",437,"Edward C Hyatt","CA","2025","June",0
"295",437,"Edward C Hyatt","CA","2025","July",0
"296",437,"Edward C Hyatt","CA","2025","August",0
"297",437,"Edward C Hyatt","CA","2025","September",0
"298",437,"Edward C Hyatt","CA","2025","October",0
"299",437,"Edward C Hyatt","CA","2025","November",0
"300",437,"Edward C Hyatt","CA","2025","December",0
