datetime,inflow_acft
6/25/00,34149.0191
6/26/00,21564.5193
6/27/00,13563.0242
6/28/00,23124.1607
6/29/00,24717.5678
6/30/00,26189.1648
7/1/00,12304.4074
7/2/00,20235.062
7/3/00,13951.9786
7/4/00,12201.5654
7/5/00,15541.6559
7/6/00,10841.9448
7/7/00,25130.0825
7/8/00,5827.57347
7/9/00,20278.0258
7/10/00,9099.14262
7/11/00,15584.9191
7/12/00,10782.6492
7/13/00,13956.2481
7/14/00,17110.0354
7/15/00,12326.9789
7/16/00,7471.60441
7/17/00,4358.60204
7/18/00,15556.0542
7/19/00,10728.2257
7/20/00,10879.5136
7/21/00,15557.0482
7/22/00,9169.12495
7/23/00,7591.793
7/24/00,18741.3524
7/25/00,9209.34923
7/26/00,4428.62453
7/27/00,10797.3609
7/28/00,4435.07469
7/29/00,17089.1425
7/30/00,2750.64478
7/31/00,12385.9124
8/1/00,5985.68679
8/2/00,4390.77929
8/3/00,10820.6403
8/4/00,4485.85529
8/5/00,17131.0841
8/6/00,7591.64077
8/7/00,7651.75667
8/8/00,7644.67807
8/9/00,2880.83769
8/10/00,15869.0498
8/11/00,6020.71913
8/12/00,10867.3832
8/13/00,9263.27092
8/14/00,4470.88444
8/15/00,9145.25443
8/16/00,7669.89357
8/17/00,9208.42258
8/18/00,7636.33838
8/19/00,9267.55119
8/20/00,6095.3758
8/21/00,14004.6199
8/22/00,14021.1032
8/23/00,6134.60824
8/24/00,15547.6652
8/25/00,14003.9935
8/26/00,13973.6776
8/27/00,18647.6387
8/28/00,4521.52988
8/29/00,12325.7237
8/30/00,12422.1945
8/31/00,6127.42379
9/1/00,15363.3721
9/2/00,9198.35533
9/3/00,16904.1151
9/4/00,10997.4316
9/5/00,10287.7369
9/6/00,9615.62978
9/7/00,2006.50693
9/8/00,18596.5913
9/9/00,9604.5062
9/10/00,7588.66914
9/11/00,15429.872
9/12/00,18504.6327
9/13/00,12263.5604
9/14/00,13830.0853
9/15/00,10741.4985
9/16/00,13829.9034
9/17/00,5901.32004
9/18/00,8773.91131
9/19/00,20093.4119
9/20/00,7486.83023
9/21/00,2752.88861
9/22/00,6840.06977
9/23/00,7574.99574
9/24/00,12227.2824
9/25/00,5998.33722
9/26/00,10675.1056
9/27/00,13783.5113
9/28/00,22925.3091
9/29/00,4352.20783
9/30/00,15401.6889
10/1/00,10958.8954
10/2/00,10676.0102
10/3/00,15299.5853
10/4/00,6064.28253
10/5/00,24448.0195
10/6/00,12108.0198
10/7/00,10813.7185
10/8/00,11079.9586
10/9/00,7368.38694
10/10/00,8986.9745
10/11/00,5903.07099
10/12/00,6059.08405
10/13/00,15251.06
10/14/00,10902.9186
10/15/00,15185.8874
10/16/00,11375.3484
10/17/00,10742.9319
10/18/00,15542.8229
10/19/00,14128.6491
10/20/00,12469.4138
10/21/00,26692.2985
10/22/00,24751.2597
10/23/00,14054.1864
10/24/00,32518.0894
10/25/00,23159.0785
10/26/00,17037.1178
10/27/00,26339.4377
10/28/00,9259.06789
10/29/00,10941.4907
10/30/00,23357.6137
10/31/00,13971.6431
11/1/00,20303.003
11/2/00,16610.5238
11/3/00,15069.8707
11/4/00,11811.8607
11/5/00,16248.5417
11/6/00,13561.1173
11/7/00,8757.69332
11/8/00,7498.92442
11/9/00,13486.5304
11/10/00,18184.0883
11/11/00,10623.7289
11/12/00,7379.0678
11/13/00,13691.607
11/14/00,7549.56123
11/15/00,13565.647
11/16/00,12227.3848
11/17/00,15237.0962
11/18/00,6432.90257
11/19/00,14298.4982
11/20/00,11090.2927
11/21/00,12378.1188
11/22/00,9251.29455
11/23/00,9644.19653
11/24/00,9166.65291
11/25/00,9569.14928
11/26/00,9832.06835
11/27/00,17150.5609
11/28/00,10885.0843
11/29/00,18386.3608
11/30/00,6218.09022
12/1/00,17310.2936
12/2/00,11374.6554
12/3/00,10033.6533
12/4/00,11217.1715
12/5/00,12943.2906
12/6/00,12533.3344
12/7/00,13380.3064
12/8/00,12157.0217
12/9/00,11171.1357
12/10/00,6913.214
12/11/00,21383.0177
12/12/00,4659.10049
12/13/00,10496.2214
12/14/00,7312.18592
12/15/00,23932.385
12/16/00,5344.21394
12/17/00,5213.57468
12/18/00,15070.6207
12/19/00,13554.5019
