STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,6,RES ELE,20070910 0000,20070910 0000,959.06, ,FEET
SHA,D,6,RES ELE,20070911 0000,20070911 0000,958.56, ,FEET
SHA,D,6,RES ELE,20070912 0000,20070912 0000,958.06, ,FEET
SHA,D,6,RES ELE,20070913 0000,20070913 0000,957.54, ,FEET
SHA,D,6,RES ELE,20070914 0000,20070914 0000,957.10, ,FEET
SHA,D,6,RES ELE,20070915 0000,20070915 0000,956.66, ,FEET
SHA,D,6,RES ELE,20070916 0000,20070916 0000,956.20, ,FEET
SHA,D,6,RES ELE,20070917 0000,20070917 0000,955.97, ,FEET
SHA,D,6,RES ELE,20070918 0000,20070918 0000,955.57, ,FEET
SHA,D,6,RES ELE,20070919 0000,20070919 0000,955.05, ,FEET
SHA,D,6,RES ELE,20070920 0000,20070920 0000,954.66, ,FEET
SHA,D,6,RES ELE,20070921 0000,20070921 0000,954.20, ,FEET
SHA,D,6,RES ELE,20070922 0000,20070922 0000,953.79, ,FEET
SHA,D,6,RES ELE,20070923 0000,20070923 0000,953.38, ,FEET
SHA,D,6,RES ELE,20070924 0000,20070924 0000,952.44, ,FEET
SHA,D,6,RES ELE,20070925 0000,20070925 0000,952.01, ,FEET
SHA,D,6,RES ELE,20070926 0000,20070926 0000,951.63, ,FEET
SHA,D,6,RES ELE,20070927 0000,20070927 0000,951.24, ,FEET
SHA,D,6,RES ELE,20070928 0000,20070928 0000,950.94, ,FEET
SHA,D,6,RES ELE,20070929 0000,20070929 0000,950.56, ,FEET
SHA,D,6,RES ELE,20070930 0000,20070930 0000,950.13, ,FEET
SHA,D,6,RES ELE,20071001 0000,20071001 0000,949.82, ,FEET
SHA,D,6,RES ELE,20071002 0000,20071002 0000,949.44, ,FEET
SHA,D,6,RES ELE,20071003 0000,20071003 0000,949.01, ,FEET
SHA,D,6,RES ELE,20071004 0000,20071004 0000,948.66, ,FEET
SHA,D,6,RES ELE,20071005 0000,20071005 0000,948.34, ,FEET
SHA,D,6,RES ELE,20071006 0000,20071006 0000,948.16, ,FEET
SHA,D,6,RES ELE,20071007 0000,20071007 0000,947.93, ,FEET
SHA,D,6,RES ELE,20071008 0000,20071008 0000,947.63, ,FEET
SHA,D,6,RES ELE,20071009 0000,20071009 0000,947.21, ,FEET
SHA,D,6,RES ELE,20071010 0000,20071010 0000,947.28, ,FEET
SHA,D,6,RES ELE,20071011 0000,20071011 0000,---, ,FEET
SHA,D,6,RES ELE,20071012 0000,20071012 0000,947.23, ,FEET
SHA,D,6,RES ELE,20071013 0000,20071013 0000,946.98, ,FEET
SHA,D,6,RES ELE,20071014 0000,20071014 0000,946.68, ,FEET
SHA,D,6,RES ELE,20071015 0000,20071015 0000,946.50, ,FEET
SHA,D,6,RES ELE,20071016 0000,20071016 0000,946.34, ,FEET
SHA,D,6,RES ELE,20071017 0000,20071017 0000,946.32, ,FEET
SHA,D,6,RES ELE,20071018 0000,20071018 0000,946.23, ,FEET
SHA,D,6,RES ELE,20071019 0000,20071019 0000,946.58, ,FEET
SHA,D,6,RES ELE,20071020 0000,20071020 0000,946.53, ,FEET
SHA,D,6,RES ELE,20071021 0000,20071021 0000,946.48, ,FEET
SHA,D,6,RES ELE,20071022 0000,20071022 0000,946.28, ,FEET
SHA,D,6,RES ELE,20071023 0000,20071023 0000,946.16, ,FEET
SHA,D,6,RES ELE,20071024 0000,20071024 0000,946.01, ,FEET
SHA,D,6,RES ELE,20071025 0000,20071025 0000,945.84, ,FEET
SHA,D,6,RES ELE,20071026 0000,20071026 0000,945.59, ,FEET
SHA,D,6,RES ELE,20071027 0000,20071027 0000,945.45, ,FEET
SHA,D,6,RES ELE,20071028 0000,20071028 0000,945.37, ,FEET
SHA,D,6,RES ELE,20071029 0000,20071029 0000,945.49, ,FEET
SHA,D,6,RES ELE,20071030 0000,20071030 0000,945.34, ,FEET
SHA,D,6,RES ELE,20071031 0000,20071031 0000,945.30, ,FEET
SHA,D,6,RES ELE,20071101 0000,20071101 0000,945.13, ,FEET
SHA,D,6,RES ELE,20071102 0000,20071102 0000,944.95, ,FEET
SHA,D,6,RES ELE,20071103 0000,20071103 0000,944.72, ,FEET
SHA,D,6,RES ELE,20071104 0000,20071104 0000,944.48, ,FEET
SHA,D,6,RES ELE,20071105 0000,20071105 0000,944.31, ,FEET
SHA,D,6,RES ELE,20071106 0000,20071106 0000,944.13, ,FEET
SHA,D,6,RES ELE,20071107 0000,20071107 0000,943.98, ,FEET
